Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09,1083.550049,1085.199951,1073.099976,1080.250000,1076.942017,22464
2022-02-10,1085.699951,1087.349976,1060.000000,1064.250000,1060.991089,43493
2022-02-11,1058.000000,1072.949951,1055.000000,1061.900024,1058.648315,44221
2022-02-14,1050.000000,1075.000000,1015.150024,1032.150024,1028.989380,99434
2022-02-15,1040.000000,1047.550049,1018.349976,1035.750000,1032.578369,56150
2022-02-16,1041.800049,1069.949951,1040.000000,1045.599976,1042.398193,77757
2022-02-17,1050.800049,1050.949951,1030.099976,1038.349976,1035.170410,29716
2022-02-18,1032.050049,1039.849976,1025.000000,1027.599976,1024.453247,25569
2022-02-21,1033.800049,1033.949951,1007.200012,1012.349976,1009.249939,34836
2022-02-22,988.000000,1005.650024,975.000000,994.599976,991.554321,51736
2022-02-23,996.000000,1005.000000,988.250000,991.000000,987.965393,53645
2022-02-24,975.799988,982.799988,936.049988,945.900024,943.003479,117296
2022-02-25,956.000000,979.900024,938.049988,973.650024,970.668518,62930
2022-02-28,965.000000,984.000000,958.700012,977.049988,974.058105,58831
2022-03-02,968.200012,983.599976,968.200012,975.700012,972.712219,37319
2022-03-03,983.650024,993.450012,978.599976,982.099976,979.092590,63049
2022-03-04,976.000000,1084.000000,966.049988,1059.000000,1055.757202,311337
2022-03-07,1032.000000,1047.949951,990.000000,1009.250000,1006.159485,238455
2022-03-08,1011.000000,1044.900024,975.700012,984.849976,981.834167,135741
2022-03-09,994.849976,1008.099976,980.000000,984.549988,981.535095,121553
2022-03-10,1003.799988,1026.699951,995.799988,1012.849976,1009.748413,92923
2022-03-11,1007.000000,1044.000000,1000.000000,1007.799988,1004.713928,95515
2022-03-14,1013.099976,1017.450012,996.000000,1000.400024,997.336609,46489
2022-03-15,1007.400024,1019.000000,990.599976,1004.049988,1000.975403,64655
2022-03-16,1012.049988,1017.950012,992.000000,995.150024,992.102661,100396
2022-03-17,1004.000000,1017.799988,996.900024,999.750000,996.688599,131457
2022-03-21,1006.450012,1009.750000,984.650024,987.700012,984.675476,119316
2022-03-22,987.700012,1000.650024,982.000000,987.200012,984.177002,70757
2022-03-23,991.799988,998.799988,973.000000,976.450012,973.459961,75199
2022-03-24,972.000000,983.900024,967.500000,971.200012,968.226013,58722
2022-03-25,978.000000,984.900024,949.000000,951.049988,948.137695,120622
2022-03-28,952.049988,958.799988,925.000000,933.150024,930.292542,96596
2022-03-29,936.000000,955.000000,925.000000,933.250000,930.392212,114950
2022-03-30,939.750000,952.799988,919.200012,934.200012,931.339294,263061
2022-03-31,939.799988,953.950012,930.500000,932.150024,929.295593,119650
2022-04-01,933.000000,961.000000,933.000000,949.950012,947.041077,102853
2022-04-04,954.799988,995.299988,952.950012,985.650024,982.631775,129183
2022-04-05,993.000000,1014.900024,986.500000,997.250000,994.196228,246508
2022-04-06,997.250000,1032.400024,995.299988,1023.000000,1019.867371,215023
2022-04-07,1027.699951,1027.699951,990.000000,996.099976,993.049744,89346
2022-04-08,1003.799988,1149.000000,997.849976,1124.449951,1121.006714,1022081
2022-04-11,1123.000000,1150.000000,1082.000000,1108.199951,1104.806396,619835
2022-04-12,1107.000000,1154.949951,1082.000000,1129.900024,1126.440063,516070
2022-04-13,1135.000000,1148.000000,1101.000000,1110.650024,1107.249023,316300
2022-04-18,1100.599976,1121.699951,1080.599976,1087.349976,1084.020264,183373
2022-04-19,1096.150024,1121.500000,1080.000000,1088.150024,1084.817871,138718
2022-04-20,1096.949951,1126.800049,1093.400024,1110.500000,1107.099487,217803
2022-04-21,1115.000000,1168.000000,1112.599976,1148.750000,1145.232300,289337
2022-04-22,1144.900024,1211.000000,1131.000000,1185.300049,1181.670410,759332
2022-04-25,1176.900024,1199.500000,1142.900024,1190.300049,1186.655151,164362
2022-04-26,1196.599976,1209.949951,1175.250000,1188.349976,1184.711060,192347
2022-04-27,1184.900024,1207.000000,1157.050049,1184.550049,1180.922729,101292
2022-04-28,1195.550049,1195.550049,1157.000000,1161.250000,1157.694092,57728
2022-04-29,1165.099976,1173.800049,1115.000000,1124.750000,1121.305786,63058
2022-05-02,1119.949951,1137.849976,1111.000000,1125.349976,1121.903931,48583
