Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,1390.000000,1390.000000,1330.199951,1344.550049,1302.616211,3968044
2022-04-19,1361.849976,1361.849976,1285.650024,1301.199951,1260.618164,2677360
2022-04-20,1305.400024,1320.949951,1295.750000,1309.199951,1268.368652,3025261
2022-04-21,1313.900024,1319.000000,1297.449951,1312.699951,1271.759399,3728173
2022-04-22,1305.000000,1324.000000,1292.849976,1306.500000,1265.752930,1954666
2022-04-25,1295.000000,1297.949951,1262.599976,1270.400024,1230.778809,2686619
2022-04-26,1281.400024,1285.699951,1265.000000,1275.449951,1235.671265,2568317
2022-04-27,1267.750000,1274.500000,1246.250000,1261.250000,1221.914063,2382463
2022-04-28,1273.800049,1284.400024,1250.199951,1271.300049,1231.650757,2576887
2022-04-29,1284.000000,1284.800049,1248.349976,1259.000000,1219.734375,3811317
2022-05-02,1240.000000,1249.000000,1224.199951,1231.199951,1192.801270,2149957
2022-05-04,1232.449951,1243.949951,1200.000000,1212.800049,1174.975342,2797667
2022-05-05,1232.849976,1266.099976,1222.150024,1263.349976,1223.948730,3563713
2022-05-06,1239.699951,1299.000000,1228.699951,1290.750000,1250.494141,5745203
2022-05-09,1280.000000,1280.000000,1210.000000,1261.150024,1221.817261,5712061
2022-05-10,1255.000000,1271.449951,1235.000000,1242.300049,1203.555298,2852416
2022-05-11,1243.000000,1265.650024,1207.300049,1224.449951,1186.261841,3244609
2022-05-12,1209.000000,1232.849976,1197.050049,1212.800049,1174.975342,3110220
2022-05-13,1228.000000,1234.550049,1195.000000,1202.849976,1165.335449,1892084
2022-05-16,1190.000000,1221.000000,1156.949951,1189.050049,1151.965942,3474480
2022-05-17,1195.800049,1210.000000,1183.150024,1198.199951,1160.830566,4434968
2022-05-18,1209.000000,1230.500000,1168.500000,1172.050049,1135.496094,5294021
2022-05-19,1153.000000,1153.900024,1100.000000,1108.349976,1073.782715,4393100
2022-05-20,1128.000000,1134.800049,1114.750000,1130.900024,1095.629517,2461651
2022-05-23,1134.000000,1147.800049,1115.650024,1142.900024,1107.255249,2783695
2022-05-24,1148.000000,1151.849976,1091.000000,1098.349976,1064.094604,3666196
2022-05-25,1091.050049,1094.900024,1045.000000,1060.150024,1027.086060,4711542
2022-05-26,1070.000000,1089.500000,1055.949951,1078.599976,1044.960693,2946857
2022-05-27,1095.000000,1126.199951,1092.000000,1123.250000,1088.218140,3367600
2022-05-30,1142.900024,1170.500000,1135.449951,1164.000000,1127.697144,2469771
2022-05-31,1152.000000,1192.000000,1148.650024,1180.250000,1143.440430,9674664
2022-06-01,1186.150024,1197.000000,1143.099976,1146.599976,1110.839844,2419021
2022-06-02,1140.000000,1155.400024,1131.699951,1146.000000,1110.258545,3206663
2022-06-03,1160.000000,1182.000000,1144.099976,1147.900024,1112.099365,3229236
2022-06-06,1146.000000,1149.000000,1111.099976,1144.199951,1108.514771,3938875
2022-06-07,1130.099976,1139.800049,1120.699951,1130.300049,1095.048218,1656444
2022-06-08,1134.900024,1139.300049,1119.900024,1124.199951,1089.138428,1303551
2022-06-09,1122.000000,1141.949951,1111.650024,1138.599976,1103.089355,1323539
2022-06-10,1119.000000,1123.900024,1100.250000,1109.849976,1075.236084,3119792
2022-06-13,1081.199951,1084.599976,1050.000000,1051.949951,1019.141785,2012004
2022-06-14,1034.000000,1056.550049,1020.400024,1030.150024,998.021729,5775453
2022-06-15,1037.000000,1037.000000,1017.799988,1020.049988,988.236755,3238141
2022-06-16,1024.050049,1033.599976,971.000000,975.299988,944.882385,5600443
2022-06-17,971.099976,974.349976,943.700012,965.049988,934.952026,7043370
2022-06-20,965.000000,988.150024,948.049988,979.349976,948.806030,2985094
2022-06-21,991.400024,1004.650024,980.000000,1000.099976,968.908875,3433536
2022-06-22,996.950012,996.950012,968.000000,980.000000,949.435791,2719988
2022-06-23,981.099976,998.549988,971.250000,991.099976,960.189575,2915172
2022-06-24,1001.000000,1001.000000,974.000000,981.200012,950.598389,4056588
2022-06-27,996.000000,1024.099976,996.000000,1007.200012,975.787476,3796002
2022-06-28,1002.000000,1029.000000,984.049988,1020.700012,988.866455,2755698
2022-06-29,1008.000000,1027.400024,1002.549988,1021.099976,989.253967,3770663
2022-06-30,1016.000000,1026.000000,997.000000,1000.000000,968.812073,3264301
2022-07-01,997.000000,1014.000000,989.299988,1010.700012,979.178284,1842102
2022-07-04,1010.700012,1013.799988,995.000000,999.950012,968.763611,1814322
2022-07-05,1005.000000,1021.900024,999.000000,1003.200012,971.912231,3045188
2022-07-06,1008.000000,1014.900024,1001.599976,1009.900024,978.403259,2188175
2022-07-07,1020.950012,1026.900024,1016.000000,1020.750000,988.914856,1901699
2022-07-08,1031.000000,1034.699951,1014.549988,1026.500000,994.485535,2841036
2022-07-11,1015.000000,1017.349976,988.000000,1007.549988,976.126587,2892507
2022-07-12,1000.000000,1016.799988,994.500000,997.349976,966.244629,2013304
2022-07-13,1001.400024,1004.200012,987.049988,990.049988,959.172302,2067142
2022-07-14,998.000000,998.599976,968.799988,975.799988,945.366760,2212219
2022-07-15,980.000000,988.900024,965.049988,973.799988,943.429138,2544737
2022-07-18,985.000000,1022.000000,984.200012,1008.000000,976.562500,3946821
2022-07-19,999.950012,1010.950012,991.000000,1007.700012,976.271912,2985845
2022-07-20,1021.250000,1051.699951,1017.250000,1045.500000,1012.892944,5574762
2022-07-21,1025.000000,1035.800049,1011.049988,1032.750000,1015.104553,4935223
2022-07-22,1040.000000,1043.699951,1013.250000,1028.699951,1011.123657,2985409
2022-07-25,1028.900024,1028.900024,1008.250000,1017.250000,999.869385,2888919
2022-07-26,1015.000000,1037.250000,994.150024,999.349976,982.275146,5939871
2022-07-27,1000.000000,1009.950012,992.000000,1007.650024,990.433411,2546052
2022-07-28,1021.200012,1043.449951,1015.400024,1038.000000,1020.264832,3428026
2022-07-29,1055.000000,1068.000000,1044.099976,1048.650024,1030.732910,6185909
2022-08-01,1058.949951,1058.949951,1037.800049,1049.599976,1031.666626,2540084
2022-08-02,1046.000000,1049.500000,1030.000000,1032.599976,1014.957092,2802273
2022-08-03,1027.449951,1057.000000,1024.699951,1052.650024,1034.664551,3509019
2022-08-04,1063.000000,1072.699951,1036.199951,1056.050049,1038.006470,5360632
2022-08-05,1060.000000,1067.949951,1050.449951,1058.199951,1040.119629,2641829
2022-08-08,1056.000000,1064.849976,1049.050049,1056.599976,1038.546997,2579239
2022-08-10,1056.000000,1059.150024,1043.050049,1055.199951,1037.170898,2823021
2022-08-11,1072.000000,1093.900024,1070.199951,1077.250000,1058.844238,3201408
2022-08-12,1073.300049,1076.400024,1062.000000,1065.900024,1047.688110,1771561
2022-08-16,1076.000000,1079.949951,1056.550049,1077.699951,1059.286499,2222701
2022-08-17,1072.500000,1106.900024,1072.199951,1104.500000,1085.628662,4280823
