Date,Open,High,Low,Close,Adj Close,Volume
2022-05-11,2664.500000,2671.250000,2502.000000,2627.449951,2518.672363,433239
2022-05-12,2580.500000,2622.199951,2505.550049,2512.649902,2408.625000,314731
2022-05-13,2555.000000,2579.899902,2430.000000,2443.699951,2342.529785,417695
2022-05-16,2450.500000,2495.949951,2410.050049,2477.899902,2375.313721,431644
2022-05-17,2488.000000,2585.000000,2477.000000,2574.699951,2468.106201,361504
2022-05-18,2600.000000,2697.850098,2593.300049,2643.149902,2533.722168,669942
2022-05-19,2550.000000,2600.800049,2445.699951,2457.649902,2355.902100,672976
2022-05-20,2505.000000,2519.850098,2450.300049,2459.050049,2357.244385,263903
2022-05-23,2469.000000,2536.949951,2452.500000,2520.100098,2415.766846,295765
2022-05-24,2525.000000,2541.250000,2470.100098,2488.649902,2385.618652,412184
2022-05-25,2460.000000,2469.600098,2262.050049,2344.649902,2247.580322,1346883
2022-05-26,2357.000000,2410.000000,2319.699951,2399.050049,2299.728271,479355
2022-05-27,2436.000000,2511.899902,2426.149902,2484.149902,2381.304932,269694
2022-05-30,2529.800049,2638.199951,2526.000000,2586.699951,2479.609375,582060
2022-05-31,2582.000000,2616.800049,2550.000000,2593.550049,2486.175781,557655
2022-06-01,2599.000000,2616.000000,2520.050049,2529.449951,2424.729492,321628
2022-06-02,2529.699951,2610.000000,2529.699951,2584.500000,2477.500488,375883
2022-06-03,2650.000000,2700.000000,2558.899902,2568.050049,2461.731445,625250
2022-06-06,2549.000000,2552.850098,2495.600098,2538.100098,2433.021729,209214
2022-06-07,2530.000000,2530.000000,2476.149902,2506.500000,2402.729736,185160
2022-06-08,2510.000000,2554.699951,2503.600098,2522.399902,2417.971436,303856
2022-06-09,2500.000000,2616.850098,2482.000000,2592.850098,2485.504883,757544
2022-06-10,2564.000000,2576.750000,2491.649902,2507.850098,2404.023926,373302
2022-06-13,2437.000000,2442.550049,2356.250000,2365.100098,2267.183838,437523
2022-06-14,2348.899902,2389.300049,2296.000000,2306.350098,2210.866211,463627
2022-06-15,2316.500000,2348.500000,2310.550049,2338.750000,2241.924561,357443
2022-06-16,2378.000000,2399.850098,2294.000000,2308.850098,2213.262451,981605
2022-06-17,2270.000000,2285.250000,2170.300049,2193.149902,2102.352539,1081819
2022-06-20,2184.000000,2204.600098,2112.050049,2179.050049,2088.836426,577009
